era,observed_seasons,rows,mean_annual_player_attempts,mean_annual_player_yards,mean_annual_total_TD,equal_year_mean_rating,pooled_rating,pooled_completion_pct,pooled_ANYA
2001–2010 (2007 absent),9,401,350.3027260956908,2426.653713312503,638.1111111111111,79.4239695489186,82.34660444916115,60.23505453293847,5.591969468931413
2011–2020,10,411,406.833121927074,2946.986163036875,759.9,87.72634690632366,89.93411800428292,62.97284015725381,6.228527590121736
2021–2023,3,140,358.88627856579984,2545.247547281324,725.6666666666666,87.3674182427108,90.75140025350562,64.78528340201875,6.041505576208179
