Age_Band,rows,players,mean_rating,mean_TD,mean_ANYA
21–25,381,230,80.0056921093388,11.380577427821523,6.2146622334399675
26–30,470,245,83.9850198399345,12.036170212765958,7.273292949341164
31–35,236,98,85.21642363418708,15.775423728813559,6.786242758674354
36–40,70,29,89.85455377217235,20.8,6.221824484704988
41–45,10,6,85.5782006612184,22.2,5.812659845782283
