metric,G,Yds,TD,Rating,ANYA
G,1.0,0.8378166942120607,0.7505480005031484,0.3826730061722811,0.3919281576423827
Yds,0.8378166942120607,1.0,0.9191589593699919,0.5382237772163518,0.5509569967931399
TD,0.7505480005031484,0.9191589593699919,1.0,0.6429185521520656,0.6296935765196623
Rating,0.3826730061722811,0.5382237772163518,0.6429185521520656,1.0,0.9482623298534184
ANYA,0.3919281576423827,0.5509569967931399,0.6296935765196623,0.9482623298534184,1.0
